S_No,PLR #,Year,Date,Incident,Status,Machine,Priority,Responsible Department,,,
65,153,2022,22-Mar-22,STG # 04 Breaker opened at 1019 hrs due to over frequency at KE circuit (500 kV Jamshoro circuit) & machine remained on FSNL. After KE go-ahead machine was synchronized at 1105 hrs and reached full load at 1200 hrs.,Closed,STG#4,Low,KE,,,
66,154,2022,Mar-22,STG # 04 load was reduced for Coal Inventory Management as per management decision to ensure Power & Steam (MPS) availability for FFBL.,Closed,STG#4,Low,SCM,,,
67,155,2022,13-May-22,Inadvertently touching interlock key during routine cleaning of panel (UCP-04) resulting in closure of trip valve and consequently tripping of STG # 04.,Closed,STG#4,Low,E&I,,,
68,156,2022,22-May-22,"1. Halting of control input to governor valve & feedback was found constant / held at 33 % and consequently shutdown of STG # 02.
 2. After troubleshooting & rectification (replacement of Redundant Module of Rack A & Analog output card of Rack B), machine was started at 1257 hrs & synchronized at 1325 hrs.",Closed,STG#2,High,E&I,,,
69,157,2022,11-Jun-22,STG # 04 Breaker opened at 1854 due to over frequency & then turbine tripped on over voltage. After KE go-ahead machine was synchronized at 1950 hrs and reached full load at 2117 hrs.,Closed,STG#4,High,KE / E&I,,,
70,158,2022,28-Jun-22,STG # 04 Breaker opened at 0527 hrs due to loss of voltage of both lines (BOC & Dhabeji) at KE circuit & machine remained on FSNL. After KE go-ahead machine was synchronized at 0634 hrs and reached full load at 0730 hrs.,Closed,STG#4,Low,KE,,,
71,159,2022,3-Jul-22,STG # 04 load was reduced as per KE instructions on 03rd July 2022 at 1047 hrs. After KE go-ahead load was normalized at 2134 hrs,Closed,STG#4,Low,KE,,,
72,160,2022,8~13 Jul-22,"a. STG # 04 power dispatch was reduced on 08th July 2022 & later it was stopped on 9th July 2022 as per KE demand.
 b. After KE go-ahead machine was started and load was normalized on 12th July 2022.
 c. Again the load was reduced on 13th July from 0342 ~ 0855 hrs as per KE instructions.",Closed,STG#4,Low,KE,,,
73,161,2022,24 & 28 Jul 22,"July 24, 2022:
 i. Tripping of Boiler-02 coal volumetric feeders (C&D) occurred owning to high moisture and increased coal consumption due to low LHV in Thar & 14th Indo Coal blend. Consequently, Boiler-02 load was reduced from 203 to 133 Met/hr, STG-04 load was reduced from 55 to 20 MW and 02 NG burners (C & D) were light up resulting in NG consumption of 0.08 MMSCF. 
 July 28, 2022:
 i. STG-04 load was varied due to variation in HPS header pressure owing to tripping of coal feeders of Boiler-01 & Boiler-02. Consequently, actual power export to KE was 1,280 MW vs budgeted 1,310 MW",Closed,Boiler # 1 / 2,Low,-,,,
74,162,2022,25-Jul-22,"1- Due to disturbance in KE network, power, frequency & voltage surges observed at STG # 04 generator, 86 G1 & 86 G2 actuated and consequently machine tripped on V/Hz security. After KE go-ahead machine was synchronized at 0420 hrs.
 2- E-mail received from KE to maintain load at 20 MW at 0429 hrs & machine load reached 20 MW at 0512 hrs.
 3- After KE go-ahead load increment started at 0806 hrs & reached 55 MW at 0844 hrs",Closed,STG#4,High,KE,,,
